8116 4 4
0.001465 0.00140011 0.00140011 0.001465
0.001455 0.0014599 0.00141 0.001465
0.001455 0.0014599 0.00141 0.001465
0.0014599 0.0014175 0.001403 0.001463
0.0014599 0.0014175 0.001403 0.001463
0.001462 0.00149 0.00144 0.00149
0.001462 0.00149 0.00144 0.00149
0.00149 0.00145001 0.00144817 0.00151
0.00149 0.00145001 0.00144817 0.00151
0.0015 0.0015 0.00147437 0.0015099
0.0015 0.0015 0.00147437 0.0015099
0.00145101 0.00149999 0.00145101 0.00149999
0.00145101 0.00149999 0.00145101 0.00149999
0.00149999 0.0014787 0.00145101 0.0015
0.00149999 0.0014787 0.00145101 0.0015
0.00145104 0.0014 0.0014 0.001477
0.00145104 0.0014 0.0014 0.001477
0.00140201 0.00140325 0.00140201 0.00144438
0.00140201 0.00140325 0.00140201 0.00144438
0.00140325 0.00140201 0.001401 0.0014759
0.00140325 0.00140201 0.001401 0.0014759
0.00147484 0.00144999 0.00141 0.00147484
0.00147484 0.00144999 0.00141 0.00147484
0.00141 0.001445 0.00141 0.00144879
0.00141 0.001445 0.00141 0.00144879
0.001425 0.00142063 0.00142041 0.001445
0.001425 0.00142063 0.00142041 0.001445
0.0014377 0.00139001 0.00135 0.0014377
0.0014377 0.00139001 0.00135 0.0014377
0.001391 0.00144495 0.00139011 0.00144495
0.001391 0.00144495 0.00139011 0.00144495
0.00142001 0.00144999 0.00142001 0.00144999
0.00142001 0.00144999 0.00142001 0.00144999
0.001445 0.00144898 0.00139012 0.00144898
0.001445 0.00144898 0.00139012 0.00144898
0.0014489 0.0014301 0.00143 0.00144898
0.0014489 0.0014301 0.00143 0.00144898
0.0014302 0.00144698 0.00139016 0.001447
0.0014302 0.00144698 0.00139016 0.001447
0.001426 0.00141608 0.00141311 0.00144898
0.001426 0.00141608 0.00141311 0.00144898
0.00141641 0.00143 0.00141641 0.00143
0.00141641 0.00143 0.00141641 0.00143
0.00143 0.00141654 0.00141654 0.001438
0.00143 0.00141654 0.00141654 0.001438
0.00141658 0.00144789 0.001391 0.00144789
0.00141658 0.00144789 0.001391 0.00144789
0.00139201 0.00141 0.00139016 0.00144598
0.00139201 0.00141 0.00139016 0.00144598
0.00144579 0.00136 0.00136 0.00144579
0.00144579 0.00136 0.00136 0.00144579
0.00139999 0.0014288 0.00137 0.001438
0.00139999 0.0014288 0.00137 0.001438
0.0014 0.00141001 0.00134022 0.00143791
0.0014 0.00141001 0.00134022 0.00143791
0.00142 0.00143799 0.00142 0.001438
0.00142 0.00143799 0.00142 0.001438
